waveform;Bridge;Resistance_0;Resistance_1
t0;29/11/2021  17:31:09,391641;29/11/2021  17:31:09,901058;29/11/2021  17:31:09,901058
delta t;0,000500;0,005000;0,005000

time;Bridge;Resistance_0;Resistance_1
29/11/2021  17:31:09,778641;9,394031E-4;;
29/11/2021  17:31:09,779141;9,395432E-4;;
29/11/2021  17:31:09,779641;9,403717E-4;;
29/11/2021  17:31:09,780141;9,394091E-4;;
29/11/2021  17:31:09,780641;9,411168E-4;;
29/11/2021  17:31:09,781141;9,396565E-4;;
29/11/2021  17:31:09,781641;9,390425E-4;;
29/11/2021  17:31:09,782141;9,397220E-4;;
29/11/2021  17:31:09,782641;9,397876E-4;;
29/11/2021  17:31:09,783141;9,391140E-4;;
29/11/2021  17:31:09,783641;9,393137E-4;;
29/11/2021  17:31:09,784141;9,383749E-4;;
29/11/2021  17:31:09,784641;9,384733E-4;;
29/11/2021  17:31:09,785141;9,390872E-4;;
29/11/2021  17:31:09,785641;9,384852E-4;;
29/11/2021  17:31:09,786141;9,385835E-4;;
29/11/2021  17:31:09,786641;9,394389E-4;;
29/11/2021  17:31:09,787141;9,397697E-4;;
29/11/2021  17:31:09,787641;9,384286E-4;;
29/11/2021  17:31:09,788141;9,394031E-4;;
29/11/2021  17:31:09,788641;9,388398E-4;;
29/11/2021  17:31:09,789141;9,391885E-4;;
29/11/2021  17:31:09,789641;9,390991E-4;;
29/11/2021  17:31:09,790141;9,390783E-4;;
29/11/2021  17:31:09,790641;9,395492E-4;;
29/11/2021  17:31:09,791141;9,389442E-4;;
29/11/2021  17:31:09,791641;9,390097E-4;;
29/11/2021  17:31:09,792141;9,390336E-4;;
29/11/2021  17:31:09,792641;9,380769E-4;;
29/11/2021  17:31:09,793141;9,386610E-4;;
29/11/2021  17:31:09,793641;9,393286E-4;;
29/11/2021  17:31:09,794141;9,390783E-4;;
29/11/2021  17:31:09,794641;9,393465E-4;;
29/11/2021  17:31:09,795141;9,393018E-4;;
29/11/2021  17:31:09,795641;9,389382E-4;;
29/11/2021  17:31:09,796141;9,390395E-4;;
29/11/2021  17:31:09,796641;9,396177E-4;;
29/11/2021  17:31:09,797141;9,385299E-4;;
29/11/2021  17:31:09,797641;9,381782E-4;;
29/11/2021  17:31:09,798141;9,392929E-4;;
29/11/2021  17:31:09,798641;9,397906E-4;;
29/11/2021  17:31:09,799141;9,387773E-4;;
29/11/2021  17:31:09,799641;9,392273E-4;;
29/11/2021  17:31:09,800141;9,393882E-4;;
29/11/2021  17:31:09,800641;9,395641E-4;;
29/11/2021  17:31:09,801141;9,387713E-4;;
29/11/2021  17:31:09,801641;9,400946E-4;;
29/11/2021  17:31:09,802141;9,404433E-4;;
29/11/2021  17:31:09,802641;9,395730E-4;;
29/11/2021  17:31:09,803141;9,405386E-4;;
29/11/2021  17:31:09,803641;9,395134E-4;;
29/11/2021  17:31:09,804141;9,396743E-4;;
29/11/2021  17:31:09,804641;9,397131E-4;;
29/11/2021  17:31:09,805141;9,390693E-4;;
29/11/2021  17:31:09,805641;9,392124E-4;;
29/11/2021  17:31:09,806141;9,387922E-4;;
29/11/2021  17:31:09,806641;9,393793E-4;;
29/11/2021  17:31:09,807141;9,392064E-4;;
29/11/2021  17:31:09,807641;9,394508E-4;;
29/11/2021  17:31:09,808141;9,394955E-4;;
29/11/2021  17:31:09,808641;9,390664E-4;;
29/11/2021  17:31:09,809141;9,397548E-4;;
29/11/2021  17:31:09,809641;9,395700E-4;;
29/11/2021  17:31:09,810141;9,395283E-4;;
29/11/2021  17:31:09,810641;9,389471E-4;;
29/11/2021  17:31:09,811141;9,389889E-4;;
29/11/2021  17:31:09,811641;9,383243E-4;;
29/11/2021  17:31:09,812141;9,387445E-4;;
29/11/2021  17:31:09,812641;9,387504E-4;;
29/11/2021  17:31:09,813141;9,384345E-4;;
29/11/2021  17:31:09,813641;9,387117E-4;;
29/11/2021  17:31:09,814141;9,385806E-4;;
29/11/2021  17:31:09,814641;9,382438E-4;;
29/11/2021  17:31:09,815141;9,384315E-4;;
29/11/2021  17:31:09,815641;9,379785E-4;;
29/11/2021  17:31:09,816141;9,404611E-4;;
29/11/2021  17:31:09,816641;9,395730E-4;;
29/11/2021  17:31:09,817141;9,393793E-4;;
29/11/2021  17:31:09,817641;9,387206E-4;;
29/11/2021  17:31:09,818141;9,403628E-4;;
29/11/2021  17:31:09,818641;9,385329E-4;;
29/11/2021  17:31:09,819141;9,386461E-4;;
29/11/2021  17:31:09,819641;9,395521E-4;;
29/11/2021  17:31:09,820141;9,392750E-4;;
29/11/2021  17:31:09,820641;9,400648E-4;;
29/11/2021  17:31:09,821141;9,390038E-4;;
29/11/2021  17:31:09,821641;9,393614E-4;;
29/11/2021  17:31:09,822141;9,400350E-4;;
29/11/2021  17:31:09,822641;9,397488E-4;;
29/11/2021  17:31:09,823141;9,387385E-4;;
29/11/2021  17:31:09,823641;9,399962E-4;;
29/11/2021  17:31:09,824141;9,404373E-4;;
29/11/2021  17:31:09,824641;9,391021E-4;;
29/11/2021  17:31:09,825141;9,394985E-4;;
29/11/2021  17:31:09,825641;9,392750E-4;;
29/11/2021  17:31:09,826141;9,398233E-4;;
29/11/2021  17:31:09,826641;9,395045E-4;;
29/11/2021  17:31:09,827141;9,397131E-4;;
29/11/2021  17:31:09,827641;9,397578E-4;;
29/11/2021  17:31:09,828141;9,383839E-4;;
29/11/2021  17:31:09,828641;9,393018E-4;;
29/11/2021  17:31:09,829141;9,391468E-4;;
29/11/2021  17:31:09,829641;9,399008E-4;;
29/11/2021  17:31:09,830141;9,390902E-4;;
29/11/2021  17:31:09,830641;9,395849E-4;;
29/11/2021  17:31:09,831141;9,388726E-4;;
29/11/2021  17:31:09,831641;9,385865E-4;;
29/11/2021  17:31:09,832141;9,397727E-4;;
29/11/2021  17:31:09,832641;9,389173E-4;;
29/11/2021  17:31:09,833141;9,383451E-4;;
29/11/2021  17:31:09,833641;9,386491E-4;;
29/11/2021  17:31:09,834141;9,386879E-4;;
29/11/2021  17:31:09,834641;9,390842E-4;;
29/11/2021  17:31:09,835141;9,379487E-4;;
29/11/2021  17:31:09,835641;9,392750E-4;;
29/11/2021  17:31:09,836141;9,384077E-4;;
29/11/2021  17:31:09,836641;9,387117E-4;;
29/11/2021  17:31:09,837141;9,392362E-4;;
29/11/2021  17:31:09,837641;9,392213E-4;;
29/11/2021  17:31:09,838141;9,394299E-4;;
29/11/2021  17:31:09,838641;9,389024E-4;;
29/11/2021  17:31:09,839141;9,394329E-4;;
29/11/2021  17:31:09,839641;9,393137E-4;;
29/11/2021  17:31:09,840141;9,391349E-4;;
29/11/2021  17:31:09,840641;9,391707E-4;;
29/11/2021  17:31:09,841141;9,392362E-4;;
29/11/2021  17:31:09,841641;9,394210E-4;;
29/11/2021  17:31:09,842141;9,399694E-4;;
29/11/2021  17:31:09,842641;9,391051E-4;;
29/11/2021  17:31:09,843141;9,384137E-4;;
29/11/2021  17:31:09,843641;9,389769E-4;;
29/11/2021  17:31:09,844141;9,391558E-4;;
29/11/2021  17:31:09,844641;9,396445E-4;;
29/11/2021  17:31:09,845141;9,396833E-4;;
29/11/2021  17:31:09,845641;9,389650E-4;;
29/11/2021  17:31:09,846141;9,391289E-4;;
29/11/2021  17:31:09,846641;9,393614E-4;;
29/11/2021  17:31:09,847141;9,390753E-4;;
29/11/2021  17:31:09,847641;9,395313E-4;;
