waveform	Bridge	T_amb	T_cell
t0	29/11/2021  14:02:54,327063	29/11/2021  14:02:54,327063	29/11/2021  14:02:54,327063
delta t	0,000500	0,000500	0,000500

time	Bridge	T_amb	T_cell
29/11/2021  14:02:54,442063	9,391021E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,442563	9,400409E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,443063	9,399545E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,443563	9,393495E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,444063	9,393227E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,444563	9,404492E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,445063	9,403032E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,445563	9,391200E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,446063	9,393465E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,446563	9,402525E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,447063	9,393823E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,447563	9,398144E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,448063	9,396892E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,448563	9,396505E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,449063	9,396714E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,449563	9,402823E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,450063	9,402495E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,450563	9,396982E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,451063	9,392482E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,451563	9,402376E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,452063	9,392183E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,452563	9,392988E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,453063	9,387564E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,453563	9,398561E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,454063	9,393137E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,454563	9,387475E-4	1,072884E-4	1,144409E-4
